City of London,Inner
Camden,Inner
Greenwich,Inner
Hackney,Inner
Hammersmith,Inner
Islington,Inner
Kensington and Chelsea,Inner
Lambeth,Inner
Lewisham,Inner
Southwark,Inner
Tower Hamlets,Inner
Wandsworth,Inner
Westminster,Inner
Barking,Outer
Barnet,Outer
Bexley,Outer
Brent,Outer
Bromley,Outer
Croydon,Outer
Ealing,Outer
Enfield,Outer
Haringey,Outer
Harrow,Outer
Havering,Outer
Hillingdon,Outer
Hounslow,Outer
Kingston upon Thames,Outer
Merton,Outer
Newham,Outer
Redbridge,Outer
Richmond upon Thames,Outer
Sutton,Outer
Waltham Forest,Outer